input_0,input_1,target,count_0,count_1,count_2,count_3,count_4
/home/tanguyen/Documents/Projects/2020/ForestMapping/Data/SwissImage/2017_25cm/DOP25_LV95_2596_1084_2017_1.tif,/home/tanguyen/Documents/Projects/2020/ForestMapping/Data/SwissALTI3D/SWISSALTI3D_0.5_TIFF_CHLV95_LN02_2596_1084.tif,/home/tanguyen/Documents/Projects/2020/ForestMapping/Data/TLMRaster/5c/TLM5c_2596_1084.tif,1000000,0,0,0,0
/home/tanguyen/Documents/Projects/2020/ForestMapping/Data/SwissImage/2017_25cm/DOP25_LV95_2593_1086_2017_1.tif,/home/tanguyen/Documents/Projects/2020/ForestMapping/Data/SwissALTI3D/SWISSALTI3D_0.5_TIFF_CHLV95_LN02_2593_1086.tif,/home/tanguyen/Documents/Projects/2020/ForestMapping/Data/TLMRaster/5c/TLM5c_2593_1086.tif,1000000,0,0,0,0
/home/tanguyen/Documents/Projects/2020/ForestMapping/Data/SwissImage/2017_25cm/DOP25_LV95_2594_1086_2017_1.tif,/home/tanguyen/Documents/Projects/2020/ForestMapping/Data/SwissALTI3D/SWISSALTI3D_0.5_TIFF_CHLV95_LN02_2594_1086.tif,/home/tanguyen/Documents/Projects/2020/ForestMapping/Data/TLMRaster/5c/TLM5c_2594_1086.tif,1000000,0,0,0,0
/home/tanguyen/Documents/Projects/2020/ForestMapping/Data/SwissImage/2017_25cm/DOP25_LV95_2595_1086_2017_1.tif,/home/tanguyen/Documents/Projects/2020/ForestMapping/Data/SwissALTI3D/SWISSALTI3D_0.5_TIFF_CHLV95_LN02_2595_1086.tif,/home/tanguyen/Documents/Projects/2020/ForestMapping/Data/TLMRaster/5c/TLM5c_2595_1086.tif,1000000,0,0,0,0
/home/tanguyen/Documents/Projects/2020/ForestMapping/Data/SwissImage/2017_25cm/DOP25_LV95_2596_1086_2017_1.tif,/home/tanguyen/Documents/Projects/2020/ForestMapping/Data/SwissALTI3D/SWISSALTI3D_0.5_TIFF_CHLV95_LN02_2596_1086.tif,/home/tanguyen/Documents/Projects/2020/ForestMapping/Data/TLMRaster/5c/TLM5c_2596_1086.tif,1000000,0,0,0,0
/home/tanguyen/Documents/Projects/2020/ForestMapping/Data/SwissImage/2017_25cm/DOP25_LV95_2594_1085_2017_1.tif,/home/tanguyen/Documents/Projects/2020/ForestMapping/Data/SwissALTI3D/SWISSALTI3D_0.5_TIFF_CHLV95_LN02_2594_1085.tif,/home/tanguyen/Documents/Projects/2020/ForestMapping/Data/TLMRaster/5c/TLM5c_2594_1085.tif,1000000,0,0,0,0
/home/tanguyen/Documents/Projects/2020/ForestMapping/Data/SwissImage/2017_25cm/DOP25_LV95_2597_1086_2017_1.tif,/home/tanguyen/Documents/Projects/2020/ForestMapping/Data/SwissALTI3D/SWISSALTI3D_0.5_TIFF_CHLV95_LN02_2597_1086.tif,/home/tanguyen/Documents/Projects/2020/ForestMapping/Data/TLMRaster/5c/TLM5c_2597_1086.tif,1000000,0,0,0,0
/home/tanguyen/Documents/Projects/2020/ForestMapping/Data/SwissImage/2017_25cm/DOP25_LV95_2595_1085_2017_1.tif,/home/tanguyen/Documents/Projects/2020/ForestMapping/Data/SwissALTI3D/SWISSALTI3D_0.5_TIFF_CHLV95_LN02_2595_1085.tif,/home/tanguyen/Documents/Projects/2020/ForestMapping/Data/TLMRaster/5c/TLM5c_2595_1085.tif,1000000,0,0,0,0
/home/tanguyen/Documents/Projects/2020/ForestMapping/Data/SwissImage/2017_25cm/DOP25_LV95_2596_1085_2017_1.tif,/home/tanguyen/Documents/Projects/2020/ForestMapping/Data/SwissALTI3D/SWISSALTI3D_0.5_TIFF_CHLV95_LN02_2596_1085.tif,/home/tanguyen/Documents/Projects/2020/ForestMapping/Data/TLMRaster/5c/TLM5c_2596_1085.tif,1000000,0,0,0,0
/home/tanguyen/Documents/Projects/2020/ForestMapping/Data/SwissImage/2017_25cm/DOP25_LV95_2597_1085_2017_1.tif,/home/tanguyen/Documents/Projects/2020/ForestMapping/Data/SwissALTI3D/SWISSALTI3D_0.5_TIFF_CHLV95_LN02_2597_1085.tif,/home/tanguyen/Documents/Projects/2020/ForestMapping/Data/TLMRaster/5c/TLM5c_2597_1085.tif,1000000,0,0,0,0
/home/tanguyen/Documents/Projects/2020/ForestMapping/Data/SwissImage/2017_25cm/DOP25_LV95_2596_1087_2017_1.tif,/home/tanguyen/Documents/Projects/2020/ForestMapping/Data/SwissALTI3D/SWISSALTI3D_0.5_TIFF_CHLV95_LN02_2596_1087.tif,/home/tanguyen/Documents/Projects/2020/ForestMapping/Data/TLMRaster/5c/TLM5c_2596_1087.tif,1000000,0,0,0,0
/home/tanguyen/Documents/Projects/2020/ForestMapping/Data/SwissImage/2017_25cm/DOP25_LV95_2597_1087_2017_1.tif,/home/tanguyen/Documents/Projects/2020/ForestMapping/Data/SwissALTI3D/SWISSALTI3D_0.5_TIFF_CHLV95_LN02_2597_1087.tif,/home/tanguyen/Documents/Projects/2020/ForestMapping/Data/TLMRaster/5c/TLM5c_2597_1087.tif,1000000,0,0,0,0
/home/tanguyen/Documents/Projects/2020/ForestMapping/Data/SwissImage/2017_25cm/DOP25_LV95_2593_1087_2017_1.tif,/home/tanguyen/Documents/Projects/2020/ForestMapping/Data/SwissALTI3D/SWISSALTI3D_0.5_TIFF_CHLV95_LN02_2593_1087.tif,/home/tanguyen/Documents/Projects/2020/ForestMapping/Data/TLMRaster/5c/TLM5c_2593_1087.tif,1000000,0,0,0,0
/home/tanguyen/Documents/Projects/2020/ForestMapping/Data/SwissImage/2017_25cm/DOP25_LV95_2594_1087_2017_1.tif,/home/tanguyen/Documents/Projects/2020/ForestMapping/Data/SwissALTI3D/SWISSALTI3D_0.5_TIFF_CHLV95_LN02_2594_1087.tif,/home/tanguyen/Documents/Projects/2020/ForestMapping/Data/TLMRaster/5c/TLM5c_2594_1087.tif,1000000,0,0,0,0
/home/tanguyen/Documents/Projects/2020/ForestMapping/Data/SwissImage/2017_25cm/DOP25_LV95_2595_1087_2017_1.tif,/home/tanguyen/Documents/Projects/2020/ForestMapping/Data/SwissALTI3D/SWISSALTI3D_0.5_TIFF_CHLV95_LN02_2595_1087.tif,/home/tanguyen/Documents/Projects/2020/ForestMapping/Data/TLMRaster/5c/TLM5c_2595_1087.tif,1000000,0,0,0,0
/home/tanguyen/Documents/Projects/2020/ForestMapping/Data/SwissImage/2017_25cm/DOP25_LV95_2592_1089_2017_1.tif,/home/tanguyen/Documents/Projects/2020/ForestMapping/Data/SwissALTI3D/SWISSALTI3D_0.5_TIFF_CHLV95_LN02_2592_1089.tif,/home/tanguyen/Documents/Projects/2020/ForestMapping/Data/TLMRaster/5c/TLM5c_2592_1089.tif,1000000,0,0,0,0
